,id,age,class,long,lat
0,b010,17,7,43.01156844332242,-78.79191815526072
1,b011,23,2,43.01156844332242,-78.79191815526072
2,b012,24,2,43.01156844332242,-78.79191815526072
3,b013,18,30,43.01156844332242,-78.79191815526072
4,b014,18,2,43.01156844332242,-78.79191815526072
5,b015,23,28,43.01156844332242,-78.79191815526072
6,b016,22,15,43.01156844332242,-78.79191815526072
7,b017,21,1,43.01156844332242,-78.79191815526072
8,b018,25,14,43.01156844332242,-78.79191815526072
9,b019,20,7,43.01156844332242,-78.79191815526072
10,b0110,24,0,43.01156844332242,-78.79191815526072
11,b0111,21,12,43.01156844332242,-78.79191815526072
12,b0112,17,11,43.01156844332242,-78.79191815526072
13,b0113,18,22,43.01156844332242,-78.79191815526072
14,b0114,20,27,43.01156844332242,-78.79191815526072
15,b0115,18,19,43.01156844332242,-78.79191815526072
16,b0116,21,18,43.01156844332242,-78.79191815526072
17,b0117,19,10,43.01156844332242,-78.79191815526072
18,b0118,17,1,43.01156844332242,-78.79191815526072
19,b0119,23,18,43.01156844332242,-78.79191815526072
20,b0120,23,1,43.01156844332242,-78.79191815526072
21,b0121,24,29,43.01156844332242,-78.79191815526072
22,b0122,19,5,43.01156844332242,-78.79191815526072
23,b0123,20,4,43.01156844332242,-78.79191815526072
24,b0124,21,27,43.01156844332242,-78.79191815526072
25,b0125,22,4,43.01156844332242,-78.79191815526072
26,b0126,21,15,43.01156844332242,-78.79191815526072
27,b0127,23,19,43.01156844332242,-78.79191815526072
28,b0128,23,30,43.01156844332242,-78.79191815526072
29,b0129,24,3,43.01156844332242,-78.79191815526072
30,b0130,19,20,43.01156844332242,-78.79191815526072
31,b0131,21,23,43.01156844332242,-78.79191815526072
32,b110,21,13,43.01016150722189,-78.79108758619992
33,b111,21,24,43.01016150722189,-78.79108758619992
34,b112,21,2,43.01016150722189,-78.79108758619992
35,b113,18,11,43.01016150722189,-78.79108758619992
36,b114,18,7,43.01016150722189,-78.79108758619992
37,b115,18,17,43.01016150722189,-78.79108758619992
38,b116,20,24,43.01016150722189,-78.79108758619992
39,b117,19,6,43.01016150722189,-78.79108758619992
40,b118,20,23,43.01016150722189,-78.79108758619992
41,b119,20,30,43.01016150722189,-78.79108758619992
42,b1110,21,13,43.01016150722189,-78.79108758619992
43,b1111,19,0,43.01016150722189,-78.79108758619992
44,b1112,20,7,43.01016150722189,-78.79108758619992
45,b1113,24,9,43.01016150722189,-78.79108758619992
